reward,phase
108.6804051,3
98.7187406,3
123.2585996,3
112.8327008,3
124.9221248,3
128.7759764,3
103.3713241,3
126.5575498,3
-16.94700961,0
-13.57793752,0
-13.87429682,0
-21.73075611,0
-21.31896687,0
-14.52346687,0
-7.115014901,0
126.5499526,3
117.5990233,3
135.3270728,3
111.7354281,3
106.1267483,3
-13.87243184,0
-14.51936365,0
-7.599627398,0
-20.56800008,0
106.8685242,3
-18.02428003,0
-13.88453919,0
-13.47615113,0
-20.20161526,0
-20.8878154,0
-13.25968711,0
101.0942709,3
106.5617386,3
89.43993953,3
87.9370375,3
100.7317219,3
117.6697433,3
104.8187878,3
118.7764725,3
87.8629204,3
123.9632987,3
104.9099104,3
123.9067401,3
111.4784807,3
-21.17217431,3
117.3719127,3
113.5275672,3
124.3928962,3
127.642299,3
106.151482,3
125.7505246,3
102.9654716,3
101.786998,3
-13.67576558,0
-13.9190483,0
-20.77337288,0
120.2406645,3
127.8295949,3
104.4501344,3
-13.76760868,0
-13.55105208,0
-13.98391581,0
109.005256,3
118.1302065,3
111.691301,3
119.7604328,3
124.1121448,3
113.4349757,3
104.4729017,3
-6.967544278,0
-15.11978494,0
-13.6254723,0
-21.2361315,0
-21.84285894,0
-26.33480489,0
128.4103228,3
103.4971342,3
98.88999958,3
105.0766083,3
117.0675763,3
101.3139285,3
101.4240174,3
111.483555,3
110.5836834,3
116.4696008,3
-16.56792725,0
135.742552,3
110.1079266,3
106.0521758,3
113.2387793,3
89.75114877,3
111.2605298,3
111.1153023,3
-14.83310969,0
-21.09705886,0
124.81005,3
-7.105004906,3
-7.422609239,3
117.661098,3
92.62627938,3
135.731109,3
92.62047739,3
138.2848553,3
136.1733877,3
-16.44724108,0
119.2813058,3
101.2025065,3
140.8130097,3
-15.04509673,3
-14.56037606,3
-14.10181654,3
-13.56615838,3
108.1853305,3
-6.951180198,3
-21.56387894,3
-13.6803898,3
111.1349538,3
89.82637144,3
111.5373932,3
131.1483779,3
85.85640242,3
110.1310126,3
121.3863198,3
119.4851256,3
99.871904,3
118.2921697,3
104.0398781,3
103.5560325,3
114.3296371,3
101.2978635,3
119.3722652,3
114.2534486,3
101.6181274,3
115.6437799,3
116.9773375,3
-20.69251481,0
-20.80881697,0
-20.12705678,0
117.8941385,3
96.33768492,3
-14.45105935,0
126.6887709,3
126.9141713,3
118.2946815,3
112.2098434,3
127.3504387,3
-23.01607296,0
-21.39402704,0
-13.5009097,0
-20.76585362,0
119.7040583,3
92.4934149,3
-14.40905999,0
127.5471637,3
112.5278214,3
124.6287555,3
113.3187706,3
-20.71267208,0
106.4476577,3
81.48216604,3
116.0888171,3
91.329081,3
119.6476283,3
114.7322963,3
138.9043874,3
105.785033,3
124.9745585,3
108.1822278,3
110.5896664,3
113.3003996,3
115.3520703,3
102.4423947,3
121.2743431,3
119.1821946,3
96.82489034,3
114.7046892,3
115.8237307,3
117.3876162,3
109.8894389,3
108.5623183,3
-16.8495736,0
-13.76040503,0
-14.48945405,0
105.6275856,3
125.2916934,3
98.19180413,3
101.0945479,3
135.4019596,3
125.7053501,3
125.4390393,3
118.2607959,3
104.3344204,3
113.6123743,3
117.5225028,3
-13.71850348,0
-7.181901348,0
-27.52397945,0
-13.86516969,0
-14.22618339,0
119.9683742,3
122.5290175,3
116.5332991,3
118.7594915,3
106.9877702,3
-13.45637597,0
111.7764126,3
126.1256185,3
101.7399179,3
101.4302131,3
113.3223586,3
105.6220695,3
128.939751,3
101.9806803,3
112.2947117,3
106.4398806,3
104.0011858,3
102.9205621,3
104.226758,3
106.682285,3
102.9870407,3
104.4207319,3
109.1955036,3
104.2907797,3
100.6903093,3
119.1890517,3
116.7109749,3
116.3245599,3
126.9355711,3
119.6561924,3
134.9910786,3
117.9453372,3
108.1654589,3
123.3335743,3
101.0754484,3
108.1667987,3
-13.66245334,0
-14.8176144,0
-13.37681691,0
-13.7320585,0
-13.6642492,0
-21.74673217,0
-15.1165343,0
-14.45173407,0
111.3440096,3
114.1652629,3
137.6994384,3
106.469701,3
98.13528516,3
115.6133807,3
117.597644,3
100.3571239,3
125.2934125,3
112.623851,3
102.4642781,3
96.38498707,3
103.9464951,3
121.5772177,3
96.0703259,3
98.11361669,3
84.79009511,3
-14.40848252,0
-27.83846992,0
-14.0971151,0
115.8220259,3
117.0122876,3
141.3431684,3
123.4429434,3
107.0360503,3
127.1849185,3
105.667336,3
127.7471065,3
116.5538389,3
102.8758759,3
106.7906973,3
111.8882048,3
116.9471679,3
112.4443691,3
118.78348,3
4.048965162,2
125.2166485,3
100.6123684,3
121.0323058,3
82.63420767,3
106.6663818,3
114.5606026,3
102.1696972,3
112.223013,3
104.6328231,3
-13.83067634,0
-14.04782359,0
-6.778395357,0
-21.49598479,0
-13.97666478,0
-19.89188934,0
-13.54116665,0
120.3925686,3
107.3853404,3
94.95810055,3
98.06405956,3
100.7761495,3
-14.64301818,0
-6.989074915,0
119.9576731,3
113.4647828,3
117.2460421,3
105.518584,3
105.3837331,3
101.1822715,3
123.5303799,3
101.4860747,3
95.49235406,3
105.7651214,3
109.176962,3
100.2244812,3
97.4476721,3
87.61312921,3
104.0665437,3
110.7233352,3
78.85938917,3
124.2595926,3
103.5659418,3
92.87463123,3
-0.563763118,2
-13.80278195,0
-14.06046684,0
-13.83649152,0
-13.58341426,0
-13.56520134,0
-13.55337998,0
-20.54266465,0
-13.7749748,0
-14.07727072,0
101.7174104,3
127.8827244,3
116.5473452,3
106.2131569,3
-6.936104552,0
-20.43317459,0
116.3480179,3
127.5739538,3
-27.11489818,0
-21.11360153,0
-14.10613122,0
-7.120552553,0
-14.6539703,0
-13.74728805,0
-15.0136296,0
-7.32495808,0
-21.06367337,0
107.0714388,3
113.3287292,3
107.9240693,3
102.8443641,3
122.7928833,3
103.4352222,3
107.7079687,3
95.10214934,3
103.285862,3
116.7396808,3
141.2922524,3
-3.532478929,2
118.8668314,3
106.642779,3
113.8732903,3
104.0647149,3
108.1834013,3
122.8185778,3
113.5636383,3
115.6084235,3
141.9520912,3
123.5841791,3
-13.85388301,0
-21.1605706,0
-20.65597481,0
126.1226859,3
108.3506245,3
-14.01862212,0
-7.366265597,0
-13.54284913,0
110.6369844,3
-13.77060376,1
-14.3852564,1
-6.923428099,1
-7.319040103,1
120.1562069,3
97.24123828,3
112.4224299,3
96.35164287,3
93.43832769,3
83.39446244,3
118.7681571,3
103.1994688,3
86.68021313,3
112.2511432,3
118.3164587,3
122.7367873,3
102.1312242,3
125.3827773,3
114.4101196,3
95.47781034,3
107.3440739,3
106.4989335,3
90.46557058,3
95.84431914,3
115.5687834,3
104.7133041,3
106.47657,3
124.7413986,3
102.8758633,3
113.6093345,3
126.7279732,3
108.6373336,3
113.6463756,3
103.2464256,3
-17.57755628,0
-13.70507177,1
122.1367534,3
103.9678301,3
112.2650432,3
109.2906764,3
103.9007271,3
98.78868016,3
122.3070021,3
109.3282845,3
115.6348843,3
127.211708,3
127.7950899,3
117.0806964,3
118.4910591,3
119.2547003,3
1.339397758,2
-14.46368218,1
-21.04274029,1
-13.52610574,1
-14.13416587,1
110.068851,3
114.060375,3
117.9595918,3
104.4834255,3
105.5472404,3
28.14510411,2
-21.69440248,1
-13.60198515,1
-21.20925579,1
-21.54680995,1
-13.91978909,1
111.3812394,3
104.4586254,3
96.27996255,3
112.5725101,3
127.8974668,3
119.4292022,3
93.69761738,3
110.7845089,3
121.7596946,3
125.4816984,3
-7.123450892,1
-7.054510949,1
-21.17865793,1
111.7409239,3
106.9411566,3
126.3202053,3
82.24215085,3
118.2508341,3
111.5685653,3
118.1864287,3
110.1542013,3
111.6543977,3
101.9662649,3
-13.67602678,1
-13.62500655,1
-14.5135887,1
121.7629792,3
106.1822586,3
94.56241603,3
121.7731433,3
110.7376489,3
-13.57771861,1
112.7221004,3
127.0519622,3
98.5589756,3
104.0208511,3
-28.43598679,1
-13.2877859,1
-14.28170862,1
-21.15682089,1
-14.22281823,1
123.4568276,3
113.8093832,3
117.2269958,3
118.37373,3
105.2812511,3
-21.53825308,1
-6.85120542,1
-13.36570047,1
-13.96712452,1
-7.724859699,1
-14.32975671,1
-6.89837263,1
-7.10875002,1
-14.05157672,1
-21.7203123,1
124.395493,3
124.3137319,3
86.07403109,3
102.8848092,3
111.138853,3
99.24846336,3
45.87459292,3
124.4542163,3
103.0701142,3
119.9355646,3
115.0941324,3
88.57546434,3
106.3147748,3
102.3482949,3
116.4751574,3
-13.89036192,1
105.0548109,3
74.73139589,3
102.2370403,3
110.4333237,3
-21.66724472,1
-6.871379419,1
-7.051777374,1
-14.05130752,1
-13.64747477,1
-14.03549714,1
120.5855381,3
100.983933,3
131.5250937,3
102.1971457,3
113.3706071,3
108.0088898,3
124.0843437,3
119.9861393,3
95.34790112,3
105.1705904,3
118.8969677,3
114.4180947,3
-25.69341928,0
-7.222059437,2
129.0286597,3
109.9812395,3
124.76795,3
103.0751728,3
113.7347514,3
107.4222307,3
93.25280894,3
117.6754657,3
89.96176528,3
-14.14534221,2
-22.11950465,2
-7.370908202,2
-13.70568268,2
106.3900265,3
-14.31354086,1
-13.6497671,1
-13.56617331,1
-20.63611008,1
-21.42900356,1
-21.6890151,1
-20.7509226,1
100.6097572,3
114.0677074,3
-7.447672538,0
98.57462386,3
118.2897198,3
115.815524,3
-21.52988479,1
-21.3399892,1
-14.06791068,1
-14.06897898,1
-6.936743173,1
-21.10568768,1
-20.87450914,0
-15.05518237,0
-13.90120496,0
-14.18351761,0
121.7022302,3
103.0669977,3
-16.32229542,0
-13.92515046,0
-14.48654256,0
109.3915831,3
112.9771279,3
117.3454433,3
133.4861503,3
117.7959743,3
114.8659251,3
117.9306406,3
111.2383837,3
139.4638179,3
103.7443333,3
117.1022185,3
112.4375696,3
124.1505796,3
142.1766073,3
139.4952847,3
124.4546955,3
114.9849828,3
142.5208897,3
104.8137161,3
111.1683397,3
20.22598583,2
-7.146103444,2
-14.08289262,2
-21.24814379,2
121.9471233,3
131.5211372,3
110.2889534,3
114.1477644,3
-26.26929885,3
107.8530903,3
124.0870051,3
105.5695685,3
122.4463351,3
107.4339077,3
131.6173125,3
123.0340345,3
-19.09780187,1
113.9578777,3
111.5103425,3
96.05738136,3
105.0285465,3
110.5198402,3
128.3008877,3
-7.304449651,1
-13.33957952,1
-14.05509515,1
-14.02390808,1
-13.84863345,1
-20.4237118,1
102.6382853,3
120.9196686,3
126.9493324,3
124.6526566,3
112.9693383,3
100.8357028,3
119.7742883,3
82.66286368,3
109.6225793,3
108.5274528,3
92.87230616,3
95.53094279,3
128.0382098,3
125.9861912,3
120.3598194,3
110.7419741,3
98.68739273,3
130.771678,3
99.1631472,3
102.4049835,3
116.4128922,3
133.1027708,3
123.9628959,3
117.4327954,3
118.2268322,3
110.804047,3
116.595456,3
108.7057528,3
-20.33646435,1
106.8930721,3
90.77455556,3
84.92715151,3
112.5679083,3
118.475815,3
113.4588394,3
105.0552761,3
88.03771523,3
121.8031257,3
120.5162058,3
97.72376103,3
96.99934207,3
-19.34440825,2
-14.0948133,2
-21.06012057,2
-7.571223862,2
-21.11759009,2
-14.40232122,2
-13.63391168,2
-13.52765282,2
-6.900412701,2
-20.71471209,2
70.50424666,3
105.339315,3
107.7266998,3
110.035897,3
-7.467530584,1
115.7961226,3
120.3278141,3
129.3656962,3
109.2194354,3
118.5717519,3
104.581855,3
118.9199558,3
101.5439872,3
100.3906726,3
106.9550907,3
124.7416273,3
108.707332,3
110.2040532,3
85.45079274,3
104.5079844,3
135.0485286,3
100.7188798,3
109.8127941,3
119.6385684,3
123.1624701,3
91.86838432,3
100.228077,3
100.5042399,3
100.9322569,3
131.8677425,3
89.37390106,3
110.7995703,3
102.9811603,3
96.8535576,3
114.0084658,3
96.45295286,3
111.7615117,3
116.6037544,3
119.3093014,3
112.4639825,3
113.5196948,3
116.3933945,3
106.5235362,3
117.7314718,3
-20.82107692,1
101.6488702,3
-13.62602367,1
-13.54573957,1
119.0704124,3
110.0623946,3
125.1261495,3
115.7728415,3
119.8832547,3
127.8961247,3
121.602637,3
-24.80380492,1
115.8443731,3
122.6156187,3
-22.40531019,0
-13.66470971,1
-14.3709334,1
105.5382792,3
110.4037343,3
119.7356269,3
85.8285711,3
101.0698599,3
100.7271784,3
108.3081299,3
103.5616901,3
100.5096604,3
108.547394,3
94.45023305,3
-19.68690432,0
109.281579,3
-14.13608917,1
116.4087208,3
101.9961702,3
100.0026222,3
113.236048,3
-14.02266105,1
-13.81836985,1
-13.80005455,1
117.2922343,3
-14.65560839,1
110.604668,3
106.3182524,3
101.2209086,3
119.089624,3
110.7603892,3
110.5780443,3
113.702651,3
98.15653915,3
132.6354667,3
111.9678771,3
108.1226936,3
-6.98203614,1
105.7722896,3
2.863652406,2
-21.2912773,1
125.3769178,3
100.1192069,3
103.633666,3
94.06645868,3
105.7519746,3
73.90483342,3
108.8707938,3
107.7587254,3
103.9174676,3
130.1809707,3
99.68280464,3
119.4048567,3
112.8607972,3
122.7618259,3
110.7564904,3
-21.44893498,1
-14.20870253,1
115.5925508,3
81.6416813,3
103.9084282,3
-22.81128192,0
-14.42705949,1
-14.1992907,1
-14.35678487,1
-7.211257497,1
113.5052407,3
100.4081241,3
117.4034263,3
-13.86935472,1
-20.4360068,1
120.158449,3
97.60066329,3
125.1897836,3
122.0439608,3
109.8971368,3
123.3993502,3
106.9114065,3
113.4849185,3
99.4181191,3
105.7344094,3
113.4662819,3
103.0272949,3
103.3466646,3
109.6560308,3
126.4776143,3
111.333391,3
134.4292107,3
-6.868312809,1
-13.7955851,1
122.9224521,3
101.2869227,3
106.9727624,3
-21.60363137,1
-7.070203219,1
-14.30321016,1
109.2796162,3
96.92756351,3
124.4398026,3
131.0311101,3
91.66412302,3
95.04066255,3
102.7897165,3
103.5322488,3
96.06968514,3
141.1699883,3
103.4932445,3
100.4405979,3
93.60471738,3
-13.90038628,1
-21.23016414,1
-13.41947053,1
-13.94548613,1
124.7939517,3
123.1185707,3
128.9446919,3
101.4335446,3
107.2351048,3
105.7089893,3
118.316184,3
-20.66884583,1
-13.68539379,1
-14.71328114,1
110.2107223,3
97.36943415,3
122.0923227,3
98.41606368,3
118.3984464,3
106.5819841,3
94.32580425,3
102.4475925,3
101.2006544,3
103.1893682,3
107.7568012,3
-26.97751071,1
-20.52612555,1
-13.77822458,1
114.7604348,3
110.4006758,3
136.3266123,3
107.9722332,3
139.9543602,3
127.5068313,3
133.7683818,3
-3.378982499,2
-18.54964475,1
95.7016292,3
91.70036028,3
105.3948151,3
-14.10272558,1
-14.09368882,1
-13.76565169,1
116.1306156,3
102.5322205,3
89.49405325,3
105.9782745,3
90.37512797,3
106.5967917,3
107.9946974,3
134.2367754,3
118.9367604,3
94.50948077,3
99.37206055,3
121.6120936,3
96.0172239,3
114.5224758,3
98.68655522,3
105.2651694,3
95.53897792,3
92.33220532,3
-14.82616982,1
-13.82127208,1
123.5182114,3
105.8435466,3
110.7214263,3
102.4321834,3
95.76127055,3
114.6596591,3
115.591194,3
131.1246199,3
122.3440529,3
110.9623927,3
86.32831864,3
109.1171433,3
114.9621699,3
-7.443331882,1
-13.77207827,1
121.3306707,1
115.8943979,1
119.5754726,3
102.4498052,3
97.82757817,3
94.42938563,3
109.4644933,3
105.6357677,3
104.0083814,3
114.9819676,3
105.9636447,3
115.4592514,3
110.0660858,3
124.5763301,3
92.23954601,3
113.7507368,3
96.3451798,3
123.1994891,3
109.2560399,3
117.5368643,3
109.0255567,3
87.56604038,3
89.46812204,3
118.3910758,3
105.0149678,3
142.2389575,3
113.8045418,3
102.4348793,3
98.37050803,3
107.6773805,3
122.77987,3
114.8060218,3
86.69672952,3
103.4330004,3
105.3795662,3
135.5034787,3
91.11410189,3
104.1830267,3
132.5741496,3
114.5496443,3
118.8574996,3
101.2357967,3
103.7758226,3
111.8425574,3
114.2830211,3
117.237929,3
114.3686698,3
113.9773742,3
114.3422065,3
119.6616455,3
116.5041906,3
83.65955881,3
104.1156192,3
118.4399921,3
127.7928735,3
112.9733443,3
111.1538956,3
96.84955025,3
118.0119487,3
104.2930505,3
104.6845661,3
117.1540256,3
114.142626,3
112.8821261,3
111.8095776,3
113.4384248,3
132.142058,3
111.2061206,3
122.4332097,3
113.8068004,3
110.9063,3
